A. Der verantwortliche Schiffsführer muss bestimmt werden.	Frage 1 (Basis)<br>Was ist zu tun, wenn vor Antritt der Fahrt nicht feststeht, wer Schiffsführer ist?<br>A. Der verantwortliche Schiffsführer muss bestimmt werden.<br>B. Der verantwortliche Schiffsführer muss gewählt werden.<br>C. Ein Inhaber eines Sportbootführerscheins muss die Fahrzeugführung übernehmen.<br>D. Ein Inhaber eines Sportbootführerscheins muss die Verantwortung übernehmen.


A. Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 0,5 ‰ oder mehr im Körper vorhanden ist.	Frage 2 (Basis)<br>In welchen Fällen darf weder ein Sportboot geführt noch dessen Kurs oder Geschwindigkeit selbstständig bestimmt werden?<br>A. Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 0,5 ‰ oder mehr im Körper vorhanden ist.<br>B. Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 0,8 ‰ oder mehr im Körper vorhanden ist.<br>C. Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 1,0 ‰ oder mehr im Körper vorhanden ist.<br>D. Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 0,3 ‰ oder mehr im Körper vorhanden ist.


A. Wenn es weder vor Anker liegt noch an Land festgemacht ist noch auf Grund sitzt.	Frage 3 (Basis)<br>Wann ist ein Fahrzeug in Fahrt?<br>A. Wenn es weder vor Anker liegt noch an Land festgemacht ist noch auf Grund sitzt.<br>B. Wenn es weder vor Anker liegt noch an Land festgemacht ist noch Fahrt über Grund macht.<br>C. Wenn es weder auf Grund sitzt noch vor Anker liegt noch manövrierbehindert oder manövrierunfähig ist.<br>D. Wenn es weder an Land festgemacht ist noch vor Anker liegt noch Fahrt durchs Wasser macht.


A. Etwa 1 Sekunde.	Frage 4 (Basis)<br>Wie lang ist die Dauer eines kurzen Tons (<br><br><img src="q4_1.jpg"><br>A. Etwa 1 Sekunde.<br>B. Etwa 2 Sekunden.<br>C. Weniger als 1 Sekunde.<br>D. Weniger als 4 Sekunden.
